CharacterID,Character,Species,Gender,RaceOrEthnicity,Age,Sexuality,IsGroup,IsCustomizable
3263,"Patrick (Sight)",Human,Male,White,Adult,Heterosexual,False,False
3262,"Daphne W (Sight)",Human,Female,White,Adult,Heterosexual,False,False
3257,"Jason Hatta",Human,Male,Unknown,Adult,Heterosexual,False,False
3254,Regina,Human,Female,Unknown,Adult,Unknown,False,False
3251,Emily,Machine,Female,White,Adult,Heterosexual,False,False
3247,A2,Machine,Female,White,Adult,Unknown,False,False
3240,"Imran Zakhaev",Human,Male,Unknown,Adult,Unknown,False,False
3239,"Lt. John Price",Human,Male,White,Adult,Unknown,False,False
3237,"Unnamed battlebot",Machine,Unknown,Unknown,Adult,Unknown,False,False
3232,"Sim (The Sims 4)",Unknown,Unknown,Unknown,Unknown,Unknown,False,True
3231,"Narrator (Expression captioner)",Human,Male,White,Adult,Unknown,False,False
3230,"Narrator (Facial Features Not Recognized)",Human,Male,Unknown,Adult,Unknown,False,False
3229,Avina,Machine,Female,Unknown,Adult,Unknown,False,False
3224,"Robot doll (Squid Game)",Machine,Female,Unknown,Child,Unknown,False,False
3223,"Gi-hun Seong",Human,Male,Asian,Adult,Heterosexual,False,False
3217,Niki,Human,"Non-binary or Other",White,"Young Adult",Unknown,False,False
3214,"The Mother (Klara and the Sun)",Human,Female,Unknown,Adult,Heterosexual,False,False
3213,Klara,Machine,Female,Unknown,"Young Adult",Unknown,False,False
3206,"Woman with smartphone (Deep Down Tidal)",Human,Female,Black,Adult,Unknown,False,False
3192,Zizi,Human,"Non-binary or Other",Unknown,Adult,Unknown,False,False
3191,"Drag Artists (The Zizi Show)",Human,"Non-binary or Other",Unknown,Adult,Unknown,True,False
3187,"Saudi and Iraqi ancestors",Human,Unknown,Indigenous,Unknown,Unknown,True,False
3172,Argus,Human,Male,Black,Adult,Unknown,False,False
3160,"Hackers (Black Mirror)",Human,Unknown,Unknown,Unknown,Unknown,True,False
3155,"Jake (Someone to Watch Over Me)",Human,Male,Unknown,Adult,Heterosexual,False,False
3154,"Becky (Someone to Watch Over Me)",Human,Female,Unknown,Child,Unknown,False,False
3152,"""Nakeema Stefflbauer""",Human,Female,Black,Adult,Unknown,False,False
3144,"Bri-Bri (No More Selfies)",Human,Male,Unknown,Adult,Heterosexual,False,False
3141,Eliasz,Human,Male,Unknown,Adult,Heterosexual,False,False
3139,Paladin,Cyborg,"Trans Woman",Unknown,Adult,Heterosexual,False,False
3136,"Natasha Romanoff (The Black Widow)",Human,Female,White,Adult,Heterosexual,False,False
3135,Taskmaster,Human,Female,White,Adult,Unknown,False,False
3133,"Steel Brother",Machine,Male,Unknown,Adult,Unknown,False,False
3131,Sankofa,Human,Female,Black,Child,Unknown,False,False
3124,"Masha Maximow",Human,Female,White,Adult,Unknown,False,False
3123,"Nithya Balachandran",Human,Female,"Person of Colour",Adult,Heterosexual,False,False
3118,"Welga (Olga Ramírez)",Human,Female,"Person of Colour",Adult,Heterosexual,False,False
3114,"Barney Calhoun",Human,Male,Unknown,Adult,Unknown,False,False
3113,"Gordon Freeman",Human,Male,White,Adult,Unknown,False,False
3111,"Norman Jayden",Human,Male,White,Adult,Unknown,False,False
3107,"Johnny Silverhand",Machine,Male,White,Adult,Heterosexual,False,False
3105,"Alt Cunningham",Machine,Female,White,Adult,Heterosexual,False,False
3101,"Miles Kilo",Cyborg,Male,White,Adult,Unknown,False,False
3100,"Chad Mulligan",Human,Male,White,Adult,Unknown,False,False
3099,"Trevor Philips",Human,Male,Unknown,Adult,Unknown,False,False
3098,"Franklin Clinton",Human,Male,Black,Adult,Unknown,False,False
3096,"Robert ""Red"" Ramsey",Human,Male,White,Adult,Unknown,False,False
3094,"Cole Black",Human,Male,Unknown,Adult,Unknown,False,False
3086,"Huangyan (Yellow Eye)",Human,Male,Asian,Adult,Heterosexual,False,False
3084,"Sexy woman (Ayo Technology)",Human,Female,White,Adult,Heterosexual,False,False
3079,"Peter Riviera",Human,Male,Unknown,Adult,Heterosexual,False,False
3074,"Sara/Scott Ryder",Human,Unknown,White,Adult,Unknown,False,True
3073,"Jack ""Pulse"" Estrada",Human,Male,White,Adult,Unknown,False,False
3071,"Chul Kyung ""Vigil"" Hwa",Human,Male,Asian,Adult,Unknown,False,False
3070,Nøkk,Human,Female,Unknown,Adult,Unknown,False,False
3064,Mattie,Human,Female,White,Adult,Unknown,False,False
3061,"Aria ""Alibi"" de Luca",Human,Female,Complex,Adult,Unknown,False,False
3060,"Nienke ""Iana"" Meijer",Human,Female,Unknown,Adult,Unknown,False,False
3059,"Ryad Ramírez ""Jackal"" Al-Hassar",Human,Male,Unknown,Adult,Unknown,False,False
3056,"Sao Paulo citizens",Human,Unknown,Unknown,Unknown,Unknown,True,False
3055,"Timur ""Glaz"" Glazkov",Human,Male,Unknown,Adult,Unknown,False,False
3053,"Mechanical Turk Workers (selfiecity)",Human,Unknown,Unknown,Adult,Unknown,True,False
3045,"Katie's dog",Animal,Unknown,Unknown,Unknown,Unknown,False,False
3032,Katie,Human,Female,White,"Young Adult",Homosexual,False,False
3027,SHN,Machine,Unknown,Unknown,Adult,Unknown,False,False
3025,"Anna Agarwal",Human,Female,Unknown,Adult,Homosexual,False,False
3022,Beacon,Machine,Unknown,Unknown,Adult,Unknown,False,False
3021,"Amber Rose 348",Machine,Male,Unknown,Adult,Heterosexual,False,False
3004,"Lydia (State of Mind)",Human,Female,White,Adult,Heterosexual,False,False
3002,"Angela (State of Mind)",Human,Female,White,Adult,Unknown,False,False
3000,"Kevin's wife (Solar Opposites)",Human,Female,White,Adult,Heterosexual,False,False
2999,"Kevin (Solar Opposites)",Human,Male,White,Adult,Heterosexual,False,False
2998,"Men with man caves (Solar Opposites)",Human,Male,Unknown,Adult,Unknown,True,False
2994,"Jesse (Solar Opposites)",Fictional,"Non-binary or Other",Unknown,"Young Adult",Unknown,False,False
2993,"Terry (Solar Opposites)",Fictional,Male,Unknown,Adult,Unknown,False,False
2992,Korvo,Fictional,Male,Unknown,Adult,Unknown,False,False
2991,P.A.T.R.I.C.I.A.,Machine,Female,White,Adult,Unknown,False,False
2982,"AMT workers (Assembly Line)",Human,Unknown,Unknown,Adult,Unknown,False,False
2965,"Animal Robots (Simpsons)",Machine,Unknown,Unknown,Unknown,Unknown,True,False
2964,"Interviewed Young Adults (3%)",Human,Unknown,Unknown,"Young Adult",Unknown,True,False
2963,"Animals (The Last Human)",Animal,Unknown,Unknown,Unknown,Unknown,True,False
2962,"Endangered Bird (STET)",Animal,Unknown,Unknown,Unknown,Unknown,False,False
2960,"Mae's parents",Human,Unknown,White,Elderly,Heterosexual,True,False
2957,Renata,Human,Female,Unknown,Adult,Unknown,True,False
2956,"Alan Hakman",Human,Male,White,Adult,Heterosexual,False,False
2953,"Mrs Munroe",Human,Female,White,Elderly,Heterosexual,False,False
2951,"Girl (The Final Cut)",Human,Female,Unknown,"Young Adult",Unknown,False,False
