SituationID,Situation,Genre,Character,CharacterID,Entity,Technology,Verb
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,2164,NA,NA,Discussing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,NA,NA,NA,Holograms,Visualising
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Organa,2159,NA,NA,Learning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,NA,NA,NA,Holograms,Mapping
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Organa,2159,NA,NA,Discussing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,2164,NA,NA,Informed
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,2157,NA,NA,Learning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,2164,NA,NA,Planning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,2157,NA,NA,Discussing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Organa,2159,NA,NA,Informed
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,NA,NA,NA,Holograms,Informing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Organa,2159,NA,NA,Planning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,2157,NA,NA,Informed
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,2164,NA,NA,Learning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,2157,NA,NA,Planning
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Humans in general,NA,Amazed
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Holograms,Revealing
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Humans in general,NA,Feeling
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Augmented reality,transmitted
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Humans in general,NA,Watching
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Augmented reality,Displaying
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Ocular implant,Revealing
3268,Brave New World (optical implant memory holograms),Narrative,John the Savage,1529,NA,NA,Remembering
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Holograms,transmitted
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Humans in general,NA,Enjoying
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Holograms,Displaying
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Humans in general,NA,Experiencing
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Augmented reality,Revealing
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Ocular implant,transmitted
3268,Brave New World (optical implant memory holograms),Narrative,John the Savage,1529,NA,NA,Feeling
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,NA,Ocular implant,Displaying
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,Humans in general,NA,Labeled
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Augmented reality,Visualising
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Ocular implant,Classifying
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Augmented reality,Displaying
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Ocular implant,Visualising
3267,Brave New World (optical implant overwhelm),Narrative,John the Savage,1529,NA,NA,Resisting
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Ocular implant,Displaying
3267,Brave New World (optical implant overwhelm),Narrative,John the Savage,1529,NA,NA,Overwhelmed
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Augmented reality,Overwhelming
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,Humans in general,NA,Classified
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Augmented reality,Labeling
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Ocular implant,Overwhelming
3267,Brave New World (optical implant overwhelm),Narrative,John the Savage,1529,NA,NA,Scared
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Ocular implant,Labeling
3267,Brave New World (optical implant overwhelm),Narrative,John the Savage,1529,NA,NA,Running
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,NA,Augmented reality,Classifying
3266,Sight (Daphne discovers the pick-up app),Narrative,Patrick (Sight),3263,NA,NA,Exploiting
3266,Sight (Daphne discovers the pick-up app),Narrative,Patrick (Sight),3263,NA,NA,Hacking
3266,Sight (Daphne discovers the pick-up app),Narrative,Daphne W (Sight),3262,NA,NA,Controlled
3266,Sight (Daphne discovers the pick-up app),Narrative,Daphne W (Sight),3262,NA,NA,Yelling
3266,Sight (Daphne discovers the pick-up app),Narrative,NA,NA,NA,Augmented reality,Revealed
3266,Sight (Daphne discovers the pick-up app),Narrative,Daphne W (Sight),3262,NA,NA,Discovering
3266,Sight (Daphne discovers the pick-up app),Narrative,Patrick (Sight),3263,NA,NA,Controlling
3266,Sight (Daphne discovers the pick-up app),Narrative,Daphne W (Sight),3262,NA,NA,Exploited
3266,Sight (Daphne discovers the pick-up app),Narrative,Daphne W (Sight),3262,NA,NA,Stopped
3266,Sight (Daphne discovers the pick-up app),Narrative,NA,NA,NA,Augmented reality,Hacked
3266,Sight (Daphne discovers the pick-up app),Narrative,Daphne W (Sight),3262,NA,NA,Understanding
3265,Sight (Patrick manipulates Daphne),Narrative,Daphne W (Sight),3262,NA,NA,Manipulated
3265,Sight (Patrick manipulates Daphne),Narrative,NA,NA,NA,Augmented reality,Suggesting
